src_domain,dst_domain,contextual_links
dental.unimelb.edu.au,ecommerce.unimelb.edu.au,15
eng.unimelb.edu.au,endeavour.unimelb.edu.au,15
eng.unimelb.edu.au,bookings.events.unimelb.edu.au,15
eng.unimelb.edu.au,careersonline.unimelb.edu.au,15
eng.unimelb.edu.au,mechanical.eng.unimelb.edu.au,15
fbe.unimelb.edu.au,policy.unimelb.edu.au,15
law.unimelb.edu.au,giving.unimelb.edu.au,15
law.unimelb.edu.au,ask.unimelb.edu.au,15
msd.unimelb.edu.au,forms.your.unimelb.edu.au,15
research.unimelb.edu.au,biomedicalsciences.unimelb.edu.au,15
research.unimelb.edu.au,policy.unimelb.edu.au,15
students.unimelb.edu.au,gsa.unimelb.edu.au,15
students.unimelb.edu.au,edsc.unimelb.edu.au,15
students.unimelb.edu.au,arts.unimelb.edu.au,15
students.unimelb.edu.au,biomedicalsciences.unimelb.edu.au,15
students.unimelb.edu.au,bookings.events.unimelb.edu.au,15
arts.unimelb.edu.au,policy.unimelb.edu.au,14
dental.unimelb.edu.au,handbook.unimelb.edu.au,14
handbook.unimelb.edu.au,languages-linguistics.unimelb.edu.au,14
handbook.unimelb.edu.au,futurestudents.unimelb.edu.au,14
law.unimelb.edu.au,my.unimelb.edu.au,14
mdhs.unimelb.edu.au,sport.unimelb.edu.au,14
msd.unimelb.edu.au,le.unimelb.edu.au,14
science.unimelb.edu.au,www.bio21.unimelb.edu.au,14
students.unimelb.edu.au,sport.unimelb.edu.au,14
arts.unimelb.edu.au,services.unimelb.edu.au,13
arts.unimelb.edu.au,library.unimelb.edu.au,13
biomedicalsciences.unimelb.edu.au,harrybrookesallenmuseum.mdhs.unimelb.edu.au,13
eng.unimelb.edu.au,ask.unimelb.edu.au,13
finearts-music.unimelb.edu.au,research.unimelb.edu.au,13
law.unimelb.edu.au,electionwatch.unimelb.edu.au,13
mdhs.unimelb.edu.au,giving.unimelb.edu.au,13
mdhs.unimelb.edu.au,unimelb.edu.au,13
mdhs.unimelb.edu.au,lms.unimelb.edu.au,13
medicine.unimelb.edu.au,medicalhistorymuseum.mdhs.unimelb.edu.au,13
msd.unimelb.edu.au,minerva-access.unimelb.edu.au,13
msd.unimelb.edu.au,bowerstudio.msd.unimelb.edu.au,13
students.unimelb.edu.au,accounts.unimelb.edu.au,13
study.unimelb.edu.au,ask.unimelb.edu.au,13
study.unimelb.edu.au,pursuit.unimelb.edu.au,13
education.unimelb.edu.au,q.surveys.unimelb.edu.au,12
eng.unimelb.edu.au,www.findanexpert.unimelb.edu.au,12
eng.unimelb.edu.au,policy.unimelb.edu.au,12
fbe.unimelb.edu.au,minerva-access.unimelb.edu.au,12
fbe.unimelb.edu.au,careersonline.unimelb.edu.au,12
fbe.unimelb.edu.au,go.unimelb.edu.au,12
finearts-music.unimelb.edu.au,services.unimelb.edu.au,12
handbook.unimelb.edu.au,www.asiainstitute.unimelb.edu.au,12
handbook.unimelb.edu.au,shaps.unimelb.edu.au,12
mdhs.unimelb.edu.au,cms.unimelb.edu.au,12
medicine.unimelb.edu.au,cms.unimelb.edu.au,12
medicine.unimelb.edu.au,go.unimelb.edu.au,12
medicine.unimelb.edu.au,research.unimelb.edu.au,12
msd.unimelb.edu.au,melbourne-cshe.unimelb.edu.au,12
msd.unimelb.edu.au,ms-training.msd.unimelb.edu.au,12
research.unimelb.edu.au,poche.mdhs.unimelb.edu.au,12
research.unimelb.edu.au,infrastructure.eng.unimelb.edu.au,12
science.unimelb.edu.au,about.unimelb.edu.au,12
students.unimelb.edu.au,search.unimelb.edu.au,12
study.unimelb.edu.au,mcm.unimelb.edu.au,12
arts.unimelb.edu.au,q.surveys.unimelb.edu.au,11
biomedicalsciences.unimelb.edu.au,services.unimelb.edu.au,11
biomedicalsciences.unimelb.edu.au,mdhs-study.unimelb.edu.au,11
education.unimelb.edu.au,blogs.unimelb.edu.au,11
education.unimelb.edu.au,cms.unimelb.edu.au,11
