domain,url,title
fbe.unimelb.edu.au,"https://fbe.unimelb.edu.au/our-people/graduate-research/decision,-risk-and-financial-sciences/jedwin-villanueva",Jedwin Villanueva
fbe.unimelb.edu.au,"https://fbe.unimelb.edu.au/our-people/graduate-research/decision,-risk-and-financial-sciences/ian-wang",Ian Wang
fbe.unimelb.edu.au,"https://fbe.unimelb.edu.au/our-people/graduate-research/decision,-risk-and-financial-sciences/peter-wu",Peter Wu
fbe.unimelb.edu.au,"https://fbe.unimelb.edu.au/our-people/graduate-research/decision,-risk-and-financial-sciences/zhongyu-xu",Zhongyu Xu
fbe.unimelb.edu.au,"https://fbe.unimelb.edu.au/our-people/graduate-research/decision,-risk-and-financial-sciences/yi-yin",Yi Yin
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/wcla/resources/assessment-and-feedback/exam-resources,Exam Resources
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/wcla/resources/assessment-and-feedback/feedback-resources,Feedback Resources
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/wcla/resources/assessment-and-feedback/group-work-design,Group Work Design
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/wcla/resources/assessment-and-feedback/group-work-based-assessment,Group Work Based Assessment
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/wcla/resources/assessment-and-feedback/rubric-design,Rubric Design
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/students/phd/scholarships-and-grants/stipends-and-fee-remissions/fbe-doctoral-program-stipend-and-tuition-fee-remission-scholarships,FBE Doctoral Program Stipend and Tuition (Fee Remission) Scholarships
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/research/facilities-and-resources/research-databases/refinitiv-financial-markets/sdc-platinum,SDC Platinum™
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/research/facilities-and-resources/research-databases/refinitiv-financial-markets/datastream,Datastream
fbe.unimelb.edu.au,"https://fbe.unimelb.edu.au/our-people/graduate-research/decision,-risk-and-financial-sciences/www.fuchangfa.org",
fbe.unimelb.edu.au,"https://fbe.unimelb.edu.au/our-people/graduate-research/decision,-risk-and-financial-sciences/www.linkedin.com/in/kellyxilin",
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/students/phd/scholarships-and-grants/stipends-and-fee-remissions,
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/exchange/edition2/accessible-education-delivering-increased-financial-literacy,
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/exchange/edition1/financial-literacy,
finearts-music.unimelb.edu.au,"https://finearts-music.unimelb.edu.au/about-us/news/dev-news-local-feed/vca-alumni-stories-janno-mclaughlin,-artist","VCA alumni stories: Janno McLaughlin, artist"
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/dev-news-local-feed/vca-digital-archive-multiculturalism-in-australia,VCA Digital Archive: multiculturalism in Australia
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/dev-news-local-feed/vca-digital-archive-outsiders-and-misfits,VCA Digital Archive: outsiders and misfits
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/dev-news-local-feed/albert-herring-by-the-melbourne-conservatorium-of-music-review,Albert Herring by the Melbourne Conservatorium of Music: review
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/dev-news-local-feed/vca-digital-archive-the-aussie-musical-short-film,VCA Digital Archive: the Aussie musical short film
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/dev-news-local-feed,Dev news local feed
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/why-does-music-make-us-feel-things,Why does music make us feel things?
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/events/fsmg/diena-georgetti-and-eugene-carchesio,Conscious Intuition
law.unimelb.edu.au,https://law.unimelb.edu.au/study/graduate-research-degrees/fees-and-scholarships,Fees and Scholarships
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/iilah/news-and-events/events-2026/blue-bonds-protection-of-the-seas-and-oceans-through-financialization,
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/mccl/research/research-programs/corporate-law-and-financial-regulation/engagement/past-events/2022/corporate-law-and-governance-in-the-21st-century/program-recordings,
law.unimelb.edu.au,https://law.unimelb.edu.au/about/mls-video-gallery/public-lectures-and-events/covid-19-and-financial-wellbeing-webinar-21.05.20,
law.unimelb.edu.au,https://law.unimelb.edu.au/students/mls-feedback,MLS Feedback
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/mccl/research/research-programs/corporate-law-and-financial-regulation,Corporate Law and Financial Regulation
law.unimelb.edu.au,https://law.unimelb.edu.au/study/graduate-research-degrees/fees-and-scholarships/local-and-indigenous-students,Local and Indigenous students
law.unimelb.edu.au,https://law.unimelb.edu.au/study/graduate-research-degrees/fees-and-scholarships/international-students,International students
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/mccl/research/research-programs/corporate-law-and-financial-regulation/study-options,Study options
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/cilis/about/associates/associate-profiles/professor-r-michael-feener,Professor R. Michael Feener
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/mccl/research/research-programs/corporate-law-and-financial-regulation/people,People
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/mccl/research/research-programs/corporate-law-and-financial-regulation/research,Research
law.unimelb.edu.au,https://law.unimelb.edu.au/centres/mccl/research/research-programs/corporate-law-and-financial-regulation/resources,Resources
